MSSIM;SSIM;VIF;VSNR;VIFP;NQM;UQI;PSNR-HVS;XYZ;IFC;PSNR-HVS-M;PSNRY;PSNR;MSE;SNR;WSNR;LINLAB;DCTUNE;MOS;MOS-STD;
0.9893;0.989;0.7398; 31.0664 ;0.5939; 30.7619 ;0.8994; 34.84490 ;-1.64670 ; 7.40920 ; 41.10780 ; 34.86030 ; 30.07380 ;-63.92936 ; 26.74390 ; 40.97220 ;-244.30000 ;-5.91140 ; 5.97060 ; 0.7740 ;
0.9793;0.9786;0.6297; 26.7668 ;0.4970; 28.1918 ;0.8551; 31.76430 ;-2.66330 ; 5.99160 ; 36.98040 ; 31.78030 ; 26.99810 ;-129.79871 ; 23.64460 ; 37.86780 ;-353.90000 ;-8.40590 ; 5.41670 ; 0.7022 ;
0.9628;0.9598;0.5221; 22.9527 ;0.4041; 25.5169 ;0.7959; 28.81810 ;-4.00460 ; 4.81320 ; 33.24380 ; 28.80640 ; 24.01620 ;-257.90536 ; 20.66380 ; 34.85390 ;-511.50000 ;-11.89190 ; 4.55560 ; 0.5905 ;
0.9338;0.9254;0.4151; 19.1924 ;0.3147; 22.4975 ;0.711; 25.82610 ;-5.87110 ; 3.75240 ; 29.51600 ; 25.81350 ; 21.01570 ;-514.64808 ; 17.66480 ; 31.77010 ;-764.50000 ;-16.46890 ; 4.31430 ; 0.5593 ;
0.9971;0.9966;0.8981; 41.0436 ;0.7717; 35.0060 ;0.9517; 40.74320 ;-1.21800 ; 10.63630 ; 49.32700 ; 40.79130 ; 30.23200 ;-61.64252 ; 32.77580 ; 47.02620 ;-166.70000 ;-2.94850 ; 6.14290 ; 0.7963 ;
0.9943;0.9939;0.8289; 35.7601 ;0.6840; 32.8056 ;0.9289; 37.77010 ;-2.18020 ; 8.92230 ; 45.13510 ; 37.76240 ; 27.20400 ;-123.78852 ; 29.67540 ; 43.91380 ;-241.90000 ;-4.25140 ; 5.79410 ; 0.7511 ;
0.9891;0.9888;0.7376; 31.0604 ;0.5931; 30.6254 ;0.8988; 34.79680 ;-3.64730 ; 7.38160 ; 41.05890 ; 34.83420 ; 24.24790 ;-244.50647 ; 26.71690 ; 40.82760 ;-352.30000 ;-5.91740 ; 5.44440 ; 0.7058 ;
0.9793;0.9788;0.6299; 26.8189 ;0.4957; 27.9158 ;0.8556; 31.79570 ;-5.88230 ; 5.99180 ; 37.07990 ; 31.79260 ; 21.23080 ;-489.77923 ; 23.65630 ; 37.79430 ;-538.10000 ;-8.32230 ; 4.91430 ; 0.6370 ;
0.9729;0.9575;0.5856; 21.7680 ;0.5722; 22.6281 ;0.9006; 29.89910 ;-3.76480 ; 5.51670 ; 32.81320 ; 34.78320 ; 30.05140 ;-64.25995 ; 26.66380 ; 32.44030 ;-488.70000 ;-11.98100 ; 4.80560 ; 0.6229 ;
0.9497;0.9222;0.4768; 18.3368 ;0.4664; 19.8430 ;0.8604; 26.90680 ;-5.68380 ; 4.36590 ; 29.27870 ; 31.80540 ; 26.98660 ;-130.14286 ; 23.67090 ; 29.52450 ;-696.40000 ;-16.90740 ; 4.02860 ; 0.5222 ;
0.9098;0.861;0.3713; 14.9727 ;0.3614; 16.5584 ;0.8004; 23.85050 ;-8.30520 ; 3.34240 ; 25.76860 ; 28.77730 ; 24.00430 ;-258.61301 ; 20.63350 ; 26.43800 ;-987.00000 ;-24.42320 ; 3.52780 ; 0.4573 ;
0.8483;0.7729;0.2851; 11.6634 ;0.2666; 13.4814 ;0.7193; 20.88860 ;-11.84890 ; 2.54180 ; 22.51400 ; 25.77100 ; 21.02200 ;-513.90206 ; 17.62350 ; 23.48840 ;-1.432.80000 ;-33.61290 ; 2.75000 ; 0.3565 ;
0.9976;0.9988;0.9259; 35.8916 ;0.6193; 38.2365 ;0.9603; 39.71690 ;-0.91390 ; 12.82160 ; 55.55340 ; 34.46650 ; 29.92000 ;-66.23391 ; 26.34640 ; 53.23670 ;-145.80000 ;-3.31640 ; 6.02860 ; 0.7815 ;
0.9952;0.9981;0.874; 35.0044 ;0.5282; 35.8850 ;0.9284; 36.66650 ;-1.59150 ; 10.95220 ; 50.47260 ; 31.40430 ; 26.84700 ;-134.39415 ; 23.26830 ; 49.70260 ;-222.30000 ;-4.81540 ; 5.97140 ; 0.7741 ;
0.9913;0.997;0.8089; 33.6448 ;0.4476; 33.2101 ;0.8796; 33.87490 ;-2.45100 ; 9.36330 ; 45.50570 ; 28.64490 ; 24.08740 ;-253.71162 ; 20.50020 ; 46.16390 ;-338.00000 ;-6.93100 ; 5.74290 ; 0.7444 ;
0.983;0.9943;0.7137; 29.6056 ;0.3617; 29.7223 ;0.7894; 30.65000 ;-3.86630 ; 7.64520 ; 39.88040 ; 25.50790 ; 20.95450 ;-521.95175 ; 17.35970 ; 41.74060 ;-572.30000 ;-10.85000 ; 4.82860 ; 0.6259 ;
0.9932;0.9961;0.8604; 38.0584 ;0.5977; 35.0818 ;0.8979; 39.34530 ;-1.02080 ; 9.67540 ; 49.69620 ; 34.78410 ; 29.99760 ;-65.06094 ; 26.66340 ; 47.03630 ;-166.90000 ;-3.31430 ; 5.85710 ; 0.7593 ;
0.9812;0.9892;0.7161; 30.6830 ;0.4506; 31.4912 ;0.8178; 34.40880 ;-2.37550 ; 7.12080 ; 43.06480 ; 29.80310 ; 25.00900 ;-205.20142 ; 21.66020 ; 42.01780 ;-315.90000 ;-5.87910 ; 5.61110 ; 0.7274 ;
0.9523;0.9686;0.5361; 23.4577 ;0.3170; 27.0383 ;0.6766; 29.37990 ;-4.84560 ; 4.97840 ; 36.21490 ; 24.80120 ; 20.01920 ;-647.38161 ; 16.65100 ; 36.78050 ;-660.20000 ;-10.56740 ; 4.85710 ; 0.6296 ;
0.8879;0.9077;0.3549; 16.6017 ;0.2037; 20.4478 ;0.4638; 24.12600 ;-9.69950 ; 3.19280 ; 29.12150 ; 19.79900 ; 15.01670 ;-2.048.37922 ; 11.64740 ; 30.24910 ;-1.598.10000 ;-22.02590 ; 3.54290 ; 0.4593 ;
0.989;0.9877;0.7648; 27.0556 ;0.6643; 29.5911 ;0.9135; 34.62870 ;-3.02490 ; 8.08940 ; 39.59260 ; 34.72960 ; 29.98470 ;-65.25448 ; 26.58050 ; 40.30230 ;-294.70000 ;-8.90930 ; 4.47060 ; 0.5795 ;
